zpid,GT,GT_class,basic_tom,words_tom,full_tom,basic_reason,words_reason,full_reason
244458249,157,moderate,moderate,moderate,moderate,"The property features desirable amenities and stunning views, which typically attract buyers. However, its age and size may lead to a moderate selling time, likely between 55 to 280 days.","The property has appealing features like river views and a full-service building, but lacks fast-selling keywords. Its age and location suggest a moderate selling time.","The property features desirable amenities and a sought-after location in Riverdale, but lacks fast-selling keywords. This suggests a moderate selling timeframe."
20504166,11,moderate,moderate,fast,fast,"The property is well-remodeled and located in a desirable area, which typically attracts buyers. However, the age of the building and market conditions suggest a moderate selling time.","The property features a desirable location, modern updates, and numerous attractive amenities, which are likely to appeal to buyers quickly, suggesting a fast sale.","The property features desirable attributes like a recent remodel, modern amenities, and a prime location in Westwood, which typically attract buyers quickly, leading to a fast sale."
20442795,65,moderate,moderate,fast,fast,"The property is located in a desirable area with many amenities, which typically leads to a moderate selling time. Given its features and location, it likely sold within 4 to 153 days.","The property is located in a desirable area with numerous amenities and features that appeal to a wide range of buyers. The detailed description highlights upgrades and lifestyle benefits, suggesting a quick sale.","The property features desirable amenities like a pool, spa, and upgraded interiors, along with its prime location in Marina del Rey, which typically attracts buyers quickly."
3851587,108,moderate,moderate,fast,fast,"The property is located in a prime area of Chicago and offers luxurious amenities, which typically attract buyers. However, the age of the building and market conditions suggest a moderate selling time.","This condo features luxurious amenities, stunning views, and a prime location in Chicago's Magnificent Mile, which are highly desirable traits that typically lead to a fast sale.","The property features luxurious amenities, stunning views, and modern conveniences, appealing to buyers. Its prime location in Chicago's Magnificent Mile likely contributed to a quick sale."
3876648,48,moderate,moderate,fast,fast,"The property is located in a desirable area with many appealing features, but given its age and size, it likely took longer than 20 days to sell, placing it in the moderate-selling category.","This property features desirable attributes like a modern kitchen, ample space, and a prime location in a sought-after community, which typically leads to a quick sale.","The property features desirable attributes like a chef's kitchen, spacious layout, and private outdoor spaces, along with its location in a sought-after community, indicating a likely quick sale."
89074633,141,moderate,moderate,moderate,fast,"The property is located in a desirable area with amenities and tenant occupancy until March, which may extend the selling time. Thus, it likely sold in a moderate timeframe.","The property has appealing amenities and a desirable location in Downtown Brooklyn, but the mention of a tenant occupying until March may delay the sale, leading to a moderate selling time.","The property features high-end amenities and is located in a desirable area of Downtown Brooklyn, which typically attracts buyers quickly. The description emphasizes luxury and convenience."
20746689,62,moderate,moderate,fast,fast,"The property is described as fully renovated and located in a desirable area, which typically attracts buyers. However, the mention of a price reduction suggests it may have taken some time to sell.","The property features a price reduction for a quick sale, extensive renovations, and is located in a desirable area, which typically attracts buyers quickly, indicating a fast sale.","The property features a price reduction for a quick sale, is fully renovated, and located in a prime area, which typically attracts buyers quickly, indicating a fast sale."
20803674,101,moderate,moderate,moderate,fast,"The property is well-located and has appealing features, but the age of the building and the price reduction suggest it may have taken some time to sell, likely in the moderate range.","The property has appealing features like a price reduction, spacious layout, and prime location, but it may take longer to sell due to its age and market competition.","The property features desirable amenities like a spacious layout, updated fixtures, and a prime location near major attractions, which typically attract buyers quickly."
19998238,25,moderate,moderate,moderate,moderate,"The property is well-located and features modern amenities, which typically attract buyers. However, its age and size suggest it may take some time to sell, resulting in a moderate selling time.","The property features appealing amenities and a desirable location, but lacks highly sought-after keywords that typically indicate a fast sale. Thus, it likely sold in a moderate timeframe.","The property features modern amenities and a desirable layout, but lacks fast-selling keywords. Its location in North Hollywood is appealing, suggesting a moderate selling time."
20173720,18,moderate,moderate,moderate,moderate,"The property has a spacious layout and luxurious features, which typically attract buyers. However, its age and size may lead to a moderate selling time, likely taking 2 to 128 days.","The property features luxurious amenities and a spacious layout, which typically attract buyers, but its age and specific location may lead to a moderate selling time.","The property features numerous appealing attributes such as 6 bedrooms, upgraded amenities, and a spacious layout, which typically attract buyers. However, the age of the home and location may contribute to a moderate selling time."
3690364,302,slow,moderate,moderate,fast,"The property is well-located with desirable amenities and features, which typically leads to a moderate selling time. However, the age of the building may have slightly impacted the speed.","The property has appealing features like unobstructed views and modern amenities, but its age and location may lead to a moderate selling time, likely between 20 to 152 days.","The property features desirable amenities, a prime location near Loyola University, and modern updates, which are appealing to buyers. This likely contributed to a quick sale."
2057626972,247,moderate,fast,fast,fast,"The property is positioned as a luxury condo with immediate closings and a wide range of amenities, which typically attracts buyers quickly. The competitive market in New York also supports fast sales.","The property features high-end finishes and a wide range of amenities, appealing to luxury buyers. Its prime location and modern design suggest a quick sale, likely within 55 days.","The property features high-end finishes and amenities, appealing to luxury buyers. Its prime location and immediate closings suggest a strong demand, likely leading to a fast sale."
60266307,67,moderate,moderate,fast,fast,"The property is well-located with appealing features and amenities, which typically attract buyers. However, the age of the building and market conditions suggest a moderate selling time.","The property features desirable amenities, a prime location in Gold Coast, and modern updates, which are appealing to buyers. The description suggests a high demand, likely leading to a quick sale.","The property features high-end amenities, a desirable location in Gold Coast, and modern updates, which are appealing to buyers. The description emphasizes luxury and convenience, likely leading to a quick sale."
20564163,40,moderate,moderate,slow,slow,"The property was sold as-is and had potential for improvement, which may have attracted buyers but also required time for consideration. Thus, it likely sold in a moderate timeframe.","The property is a probate sale and sold as-is, which typically indicates potential issues that may deter buyers. Additionally, the description emphasizes customization, suggesting it may not attract quick offers.","The property is a probate sale and sold as-is, which typically indicates potential issues. Additionally, the description emphasizes customization and improvement, suggesting it may not attract quick buyers."
19944699,4,moderate,moderate,moderate,moderate,"The property is well-positioned and features high-end finishes, which typically attract buyers. However, the age of the home and size may lead to a moderate selling time, likely between 2 to 128 days.","The property features high-end finishes and a desirable location, but the age of the home and specific attributes suggest it may take longer to sell, resulting in a moderate selling time.","The property features high-end finishes and a desirable location, which typically attract buyers. However, the age of the home and specific attributes may lead to a moderate selling time."
19868957,20,moderate,moderate,fast,moderate,"The description emphasizes the property's investment potential and updates, suggesting it may attract interest. However, it doesn't indicate an immediate sale, implying a moderate selling timeframe.","The description emphasizes a 'wonderful opportunity' and 'won't last long', indicating high demand. The mention of investment potential and updates suggests appeal to buyers, likely leading to a quick sale.","The description emphasizes investment potential and mentions that the property is updated, which can attract buyers. However, it lacks highly appealing features that typically lead to fast sales."
20744807,26,moderate,slow,moderate,moderate,"The property is an older duplex in need of renovation, which typically attracts buyers looking for projects. This can lead to a longer time on the market, hence a slow sale.","The property is described as a 'diamond in the rough' needing renovation, which may deter some buyers. However, its location in a trendy neighborhood could attract interest, leading to a moderate selling time.","The property is described as a 'diamond in the rough' needing renovation, which may deter some buyers. However, its location in a trendy neighborhood could attract interest, leading to a moderate selling time."
219714742,221,moderate,moderate,fast,fast,"The property is a luxurious condo in a prime location with extensive amenities, which typically attracts buyers. However, the size and price may lead to a moderate selling time of 55 to 280 days.","The property features high-end finishes and appliances, along with a prime location in New York City, which typically attracts buyers quickly. The luxurious amenities and modern design suggest a fast sale.","The property features high-end finishes and luxury brands like Miele and Gaggenau, which are attractive to buyers. Its prime location in New York also contributes to a quick sale."
20761286,15,moderate,moderate,moderate,moderate,"The property is well-designed and located in a desirable neighborhood, which typically attracts buyers. However, the age of the home and market conditions suggest a moderate selling time.","The property features appealing attributes like modern design and a great location, but lacks strong fast-selling keywords. This suggests a moderate selling time, likely between 2 to 128 days.","The property features appealing attributes like modern design, a serene location, and proximity to schools, which typically attract buyers. However, the age of the home and its specific location may lead to a moderate selling time."
3808530,69,moderate,moderate,fast,fast,"The property is well-priced and features multiple updates, which typically attract buyers. However, the age of the property and its size may lead to a moderate selling time.","This property features a competitive price, numerous updates, and a prime location near downtown Chicago, which are all appealing factors that typically lead to a fast sale.","The property features desirable attributes like a competitive price, multiple bedrooms, and a finished basement, along with appealing keywords like 'dream home' and 'unique opportunity', indicating strong buyer interest."
4130050,198,slow,fast,moderate,moderate,"The property is described as 'priced to sell' and features desirable updates and location, which typically attracts buyers quickly, leading to a fast sale.","The property has appealing features and is priced to sell, but the presence of slow-selling keywords like 'ranch' and 'mudroom' suggests it may take longer to sell.","The property has appealing features like updates and a great location, but the presence of words associated with slow-selling homes suggests it may take longer to sell."
2068672812,43,moderate,moderate,moderate,moderate,"The property is located in a desirable area with potential for income generation, which typically leads to moderate selling times. However, the age and condition may also contribute to a longer market presence.","The property is in a desirable area with potential for income generation, but the age and need for upgrades may lead to a moderate selling time, likely between 2 to 128 days.","The property is located in a desirable area with potential for income generation, but it may take longer to sell due to its unique features and the need for renovations."
158513053,77,moderate,moderate,fast,fast,"The property is well-equipped and located in a desirable neighborhood, which typically attracts buyers. However, the age and size may lead to a moderate selling time, likely between 21 to 174 days.","The property features modern amenities, a desirable location, and family-friendly layout, which are appealing to buyers. The description emphasizes its pristine condition and smart home features, likely attracting quick interest.","The property features modern amenities, a desirable location, and family-friendly attributes, which are appealing to buyers. The description emphasizes its pristine condition and spacious layout, likely leading to a quick sale."
20008297,27,moderate,moderate,fast,fast,"The property is well-remodeled and located in a desirable gated community, which typically attracts buyers. However, the age of the building and market conditions suggest a moderate selling time.","The property features extensive renovations, a desirable gated community, and a spacious layout, which are appealing traits that typically lead to a quick sale in the competitive Los Angeles market.","The property features extensive renovations, a desirable gated community, and a large patio, which are attractive to buyers. The description emphasizes readiness to move in, suggesting quick sales."
3797400,69,moderate,moderate,moderate,moderate,"The property has appealing features like original woodwork and a finished basement, which likely attracted buyers, resulting in a moderate selling time.","The description highlights original features and potential for updates, appealing to buyers looking for a project. However, it lacks urgency or trendy keywords that typically indicate a fast sale.","The property features original woodwork and a finished basement, appealing to buyers looking for character. However, the age and need for updates may slow the sale, resulting in a moderate time on market."
4018202,32,moderate,moderate,fast,fast,"The property features modern upgrades and a desirable location, which typically attract buyers. However, its age and the need for some cosmetic updates may have contributed to a moderate selling time.","The property features modern upgrades like a new kitchen and high-end appliances, which are attractive to buyers. Its excellent location and immediate occupancy likely contributed to a quick sale.","The property features high-end renovations, a desirable location, and amenities like a finished basement and large yard, which are appealing to buyers, suggesting a quick sale."
245548621,34,moderate,fast,fast,fast,"The property features modern amenities, a desirable location, and ample space, which likely attracted buyers quickly. Its appeal suggests a fast sale, likely within 21 days.","The property features modern amenities, a desirable open layout, and is located in a convenient area close to public transport and local attractions, which typically attracts buyers quickly.","The property features modern amenities, a desirable location, and an open layout, which are appealing to buyers. The description emphasizes convenience and recent construction, likely leading to a quick sale."
87700611,60,moderate,moderate,fast,fast,"The property features modern amenities and a desirable location, which typically attracts buyers. However, the age of the property and market conditions suggest a moderate selling time.","The property features modern renovations, desirable amenities like en-suite bathrooms, and a prime location in Chicago, which typically attracts buyers quickly, indicating a fast sale.","The property features modern renovations, desirable amenities, and is located in a vibrant area, which typically attracts buyers quickly, leading to a fast sale."
3971986,47,moderate,fast,fast,fast,"The property features extensive renovations and desirable amenities, suggesting high demand. Its prime location near shopping and schools likely contributed to a quick sale.","The property features extensive renovations and modern amenities, appealing to buyers looking for move-in ready homes. The urgency in the description suggests it will sell quickly.","The property features extensive renovations, modern amenities, and is located in a desirable area close to shopping and transportation, indicating high demand and likely a quick sale."
82876415,55,moderate,fast,fast,fast,"The property is described as 'move-in ready' in a trendy location with appealing features, suggesting high demand. The statement 'it won't last long' indicates a likely fast sale.","The property is described as 'move-in ready' in a trendy location with appealing features like a gas fireplace and a gorgeous balcony. The mention of it being the 'best unit on the market' suggests high demand, indicating a fast sale.","The property is described as 'move-in ready' in a trendy location with appealing features like a gas fireplace and a gorgeous balcony. The mention of it being the 'best unit on the market' suggests high demand, indicating a fast sale."
20162951,9,moderate,moderate,moderate,moderate,"The property offers a unique blend of features appealing to buyers, but its age and specific location may have contributed to a moderate selling time, likely taking between 2 to 128 days.","The property has appealing features like a serene landscape and ample outdoor space, but lacks fast-selling keywords. Its age and size suggest a moderate selling time.","The property features a unique equine setup and ample outdoor space, appealing to specific buyers. However, its age and niche market may lead to a moderate selling time."
3824979,49,moderate,slow,slow,slow,"The property has multiple challenges, including tenant issues and the need for significant updates, which likely extended the time on market, resulting in a slow sale.","The property has significant issues such as needing updates and tuckpointing, along with tenant complications and an as-is sale, which typically lead to longer selling times.","The property is tenant-occupied and requires eviction, which can deter buyers. Additionally, it needs significant updates and is being sold as-is, leading to a longer selling period."
2066391656,99,moderate,moderate,fast,fast,"The property is located in a desirable area with luxury features, but its age and specific market conditions likely contributed to a moderate selling time, typically between 55 to 280 days.","The property is a luxury condo in a prime location with desirable features like urban views and a pet-friendly policy. The description emphasizes its turnkey status, appealing to buyers looking for convenience.","The property features luxury amenities and a prime location in Turtle Bay, which are highly desirable. The description emphasizes its turnkey condition and urban views, likely attracting buyers quickly."
32278494,284,slow,moderate,slow,slow,"The property is appealing to investors and handymen, but its age and the need for renovations may have contributed to a moderate selling time, likely between 54 to 272 days.","The property is being sold as-is and is targeted towards investors and handymen, which typically indicates a longer selling period. Additionally, the age and condition may deter quick sales.","The property is being sold as-is and targets cash buyers only, which may limit interest. Additionally, it requires renovation, making it less appealing to many buyers."
245406394,67,moderate,moderate,fast,fast,"The property is located in a prime area with appealing features, but the age of the building and board approval may slow down the selling process, leading to a moderate time on market.","The property is located in prime Flushing, has abundant natural light, and is close to public transport and amenities, which are attractive features that typically lead to a quick sale.","The property is located in prime Flushing, has abundant natural light, and is close to amenities, which are attractive features for buyers. This likely contributed to a fast sale."
2099549367,55,moderate,moderate,fast,fast,"The property is a luxury condo with ample space and high-end finishes, which typically attracts buyers but may take longer due to its price point and niche market. Thus, it sold in a moderate timeframe.","This luxury condo features high-end finishes, ample space, and desirable outdoor areas in a walkable location, which are attractive to buyers, likely leading to a quick sale.","This luxury condo features high-end finishes, ample space, and desirable outdoor areas, which are attractive to buyers. Its prime location near amenities further enhances its appeal, likely leading to a quick sale."
79723410,232,moderate,moderate,fast,fast,"The property is located in a desirable area with numerous amenities, which typically leads to a moderate selling time. However, its age and specific restrictions may have contributed to a longer market presence.","The property is located in a desirable area with modern renovations and appealing amenities, which typically attract buyers quickly. The description emphasizes luxury and convenience, suggesting a fast sale.","The property features high-end renovations and luxury amenities, appealing to buyers. Its prime location and modern design suggest a quick sale, likely within 55 days."
2057663386,169,moderate,moderate,fast,fast,"The property is well-located and features desirable amenities, but its age and size may have contributed to a moderate selling time, likely taking between 55 to 280 days to sell.","The property features desirable attributes like a spacious layout, modern updates, and a prime location in Rego Park, which are appealing to buyers, leading to a quick sale.","The property features high-end amenities like hardwood floors, a chef's kitchen, and a private balcony, appealing to buyers. Its prime location and modern updates suggest a quick sale."
3705902,89,moderate,moderate,moderate,fast,"The property has a spacious layout and desirable features, but its age and location may have contributed to a moderate selling time, likely taking between 20 to 152 days to sell.","The property has appealing features like a spacious layout and recent updates, but lacks highly sought-after keywords that typically indicate a fast sale, suggesting a moderate selling time.","The property features desirable attributes like a spacious layout, modern amenities, and a prime location near the lake, which typically attract buyers quickly, leading to a fast sale."
348574387,67,moderate,fast,fast,fast,"The property is a new construction in a desirable area with modern features and low HOA dues, likely attracting buyers quickly. Its appeal suggests a fast sale, likely within 0-2 days.","The property features high-end construction, modern design, and desirable amenities like a private patio and low HOA dues, which are attractive to buyers, suggesting a quick sale.","The property features high-end construction, modern design, and desirable amenities like a private patio and low HOA dues, which are attractive to buyers, likely leading to a quick sale."
31523180,111,moderate,moderate,fast,fast,"The property features a dramatic price reduction and desirable amenities, which likely attracted buyers, resulting in a moderate selling time of 55 to 280 days.","The property features a dramatic price reduction and is located in a desirable area with extensive amenities, which typically attracts buyers quickly, suggesting a fast sale.","The property features high-end renovations and luxury amenities, which are attractive to buyers. The dramatic price reduction suggests urgency, likely leading to a quick sale."
3927324,28,moderate,moderate,slow,slow,"The property has a good number of features and space, but being an estate sale and sold as-is may have contributed to a moderate selling time, likely taking longer than 21 days.","The description includes terms like 'estate sale' and 'sold as-is', which often indicate a slower sale process. Additionally, the age of the home and the mention of needing potential renovations suggest it may not attract quick buyers.","The property is described as an estate sale and sold as-is, which often indicates potential issues that may deter buyers, leading to a longer time on the market."
2053207262,133,moderate,fast,fast,fast,"The property is well-maintained and recently renovated, located in a desirable area with ample amenities, which typically attracts buyers quickly, leading to a fast sale.","The property features high-end renovations and desirable amenities, which are appealing in the competitive New York market. Its location near transportation and shopping further enhances its attractiveness, likely leading to a quick sale.","The property features high-end renovations and desirable amenities like a designer kitchen and hardwood floors, which are attractive to buyers, leading to a quick sale."
3685189,42,moderate,moderate,slow,slow,"The property is an estate sale and sold as-is, which may attract buyers but also requires time for potential renovations. The combination of these factors likely led to a moderate selling time.","The property is an estate sale and sold as-is, indicating potential issues. The need for TLC and its age suggest it may take longer to attract buyers, leading to a slow sale.","The property is an estate sale sold as-is and requires TLC, which may deter buyers. Additionally, the age of the home and the need for renovations suggest a longer time on the market."
3920428,48,moderate,moderate,moderate,moderate,"The property has appealing features and a good location, but its age and size may have contributed to a moderate selling time, likely taking between 21 to 174 days to sell.","The property has appealing features like a well-maintained ranch style, multiple bedrooms, and a good location, but it includes some slow-selling keywords like 'ranch' and 'fenced', suggesting a moderate sale time.","The property features desirable attributes like a spacious layout, modern kitchen, and in-law arrangement, but the presence of 'ranch' and 'fenced' suggests it may appeal to a narrower market, leading to a moderate selling time."
4147854,57,moderate,slow,slow,slow,"The property is sold as-is and owned by HUD, which often leads to longer selling times due to buyer hesitance and the need for repairs, contributing to a slow sale.","The property is sold as-is and owned by HUD, which often indicates potential issues. The lack of appealing features and the age of the home suggest a longer selling period.","The property is sold as-is and owned by HUD, which may deter buyers. Additionally, the lack of appealing features and the age of the home suggest a longer time on the market."
101278829,156,moderate,fast,fast,fast,"The property is located in a desirable area with modern amenities and a well-designed layout, likely attracting buyers quickly. Its features and location suggest a fast sale.","The property features high-end finishes, a desirable location between Logan Square and Wicker Park, and a well-designed layout, which are appealing to buyers, likely leading to a quick sale.","The property features modern amenities, high-end finishes, and is located in a desirable area between Logan Square and Wicker Park, which typically attracts buyers quickly."
126321579,126,moderate,moderate,fast,fast,"The property is in a desirable location with many amenities, but its age and the competitive market may have contributed to a moderate selling time, likely between 55 to 280 days.","The property is described as spacious, move-in ready, and located in a prestigious area with numerous amenities. These factors, along with its investment potential, suggest a fast sale.","The property features luxurious amenities, a prime location, and is move-in ready, which are attractive to buyers. The description emphasizes convenience and investment potential, likely leading to a quick sale."
21350912,9,moderate,moderate,moderate,moderate,"The property is described as freshly listed after nearly five decades, indicating it may take some time to attract buyers. The detailed features suggest it appeals to a niche market, likely leading to a moderate selling time.","The property has been well-maintained and features several upgrades, which typically attract buyers. However, its long history with the same family may indicate a slower sale process.","The property has been well-maintained and upgraded, which typically attracts buyers. However, its long history with the same family may indicate a slower selling process, leading to a moderate sale time."
4134613,52,moderate,fast,fast,fast,"The property is described as magnificently renovated with high-quality finishes, which typically attracts buyers quickly. The appealing features and location likely contributed to a fast sale.","The property features high-end renovations and modern amenities, appealing to buyers looking for move-in ready homes. The description emphasizes quality and design, likely attracting quick interest.","The property features high-demand attributes like a gourmet kitchen, modern finishes, and a fully finished basement, appealing to buyers looking for move-in ready homes, likely leading to a quick sale."
101434908,78,moderate,moderate,fast,fast,"The property features desirable amenities like a rooftop deck and prime location, which likely contributed to a moderate selling time of 20 to 152 days.","The property features desirable amenities like a rooftop deck with a jacuzzi, a prime location near popular areas, and a modern kitchen, which are attractive to buyers, suggesting a quick sale.","The property features a private rooftop deck, jacuzzi, and a prime location near popular areas, which are highly desirable attributes that typically lead to quick sales."
346016188,103,moderate,moderate,moderate,fast,"The property is well-located and features many desirable amenities, which typically leads to a moderate selling time. It likely attracted interest but may have taken longer due to market conditions.","The property has appealing features and is located in a desirable area, but lacks strong fast-selling keywords. It likely sold in a moderate timeframe due to its size and amenities.","The property features modern updates, a desirable location near amenities, and a spacious layout, which are appealing to buyers, likely leading to a quick sale."
20444708,63,moderate,slow,slow,moderate,"The property is a unique development opportunity in a desirable area, but its age and the need for potential renovations likely contributed to a longer time on the market, indicating a slow sale.","The property is described as a unique development opportunity in a historic area, which may attract interest but typically takes longer to sell due to the need for planning and investment considerations.","The property is a unique development opportunity in a desirable area, but lacks fast-selling keywords. Its age and the need for potential renovations suggest a moderate selling time."
2057933994,142,moderate,moderate,fast,fast,"The property features luxurious amenities and a spacious layout, which typically attract buyers. However, the age of the home and market conditions may have contributed to a moderate selling time.","The property features luxurious amenities, an open floor plan, and an inviting outdoor space, which are appealing to buyers. The description uses positive, engaging language that suggests a quick sale.","The property features luxurious amenities, an open floor plan, and eco-friendly solar panels, appealing to buyers. Descriptive words like 'captivating' and 'oasis' suggest high desirability, likely leading to a fast sale."
250330084,43,moderate,moderate,moderate,moderate,"The property is in a redeveloping area with potential rental upside, which typically attracts buyers. However, its age and size may have contributed to a moderate selling time.","The property is a five-unit apartment building in a redeveloping area, which suggests potential but may not attract immediate buyers. The age and size also indicate a moderate selling timeframe.","The property is a five-unit apartment building in a redeveloping area, which typically attracts moderate interest. The description highlights rental upside, appealing to investors, but lacks fast-selling keywords."
32287488,92,moderate,fast,fast,fast,"The property is a renovated studio in a luxury hi-rise with desirable amenities and a prime location, which typically attracts buyers quickly, resulting in a fast sale.","The property features luxury amenities, a renovated interior, and a desirable location in New York, which are appealing to buyers. The description suggests it's move-in ready, likely leading to a quick sale.","The property features luxury amenities, a renovated interior, and a desirable location near public transport, which are attractive to buyers, likely leading to a quick sale."
3648395,77,moderate,moderate,moderate,fast,"The property has appealing features like outdoor space and a great location, but its age and size may lead to a moderate selling time, likely taking between 20 to 152 days.","The property has appealing features like outdoor space and a great location, but its age and the lack of highly desirable keywords suggest a moderate selling time.","The property features a superb location near public transport and amenities, along with desirable attributes like outdoor space and included utilities, likely attracting buyers quickly."
3938367,35,moderate,moderate,moderate,moderate,"The property features extensive renovations and desirable amenities, which typically attract buyers. However, the age of the home and market conditions suggest a moderate selling time.","The property features a remodeled kitchen and hardwood floors, appealing to buyers, but the age and 'as-is' condition may have contributed to a moderate selling time.","The property features several appealing updates like a remodeled kitchen and hardwood floors, but the mention of 'being sold as is' may deter some buyers, leading to a moderate selling time."
32304623,161,moderate,moderate,fast,fast,"The property has appealing features like a large corner lot, a pool, and is conveniently located, which likely contributed to a moderate selling time.","The property features desirable amenities like a heated inground pool, a well-maintained yard, and a convenient location, which are attractive to buyers, suggesting a fast sale.","The property features desirable amenities like a heated inground pool, a fenced backyard, and an eat-in kitchen, which are attractive to buyers, likely leading to a quick sale."
30697100,0,fast,moderate,moderate,moderate,"The property has a good amount of space and features, but its age and location in a competitive market may have contributed to a moderate selling time.","The property has a spacious layout and several appealing features, but lacks strong fast-selling keywords. Its age and location may also contribute to a moderate selling time.","The property has several appealing features like a spacious layout and updated kitchen, but lacks fast-selling keywords. This suggests a moderate selling time of 54 to 272 days."
32306395,226,moderate,moderate,moderate,fast,"The property is being sold through an auction, which typically indicates a moderate selling timeframe. Auctions can vary, but they often take longer than traditional sales.","The property is being sold through an auction, which can lead to varied selling times. The description lacks strong fast-selling keywords, suggesting a moderate selling timeframe.","The property is being sold through Auction.com, which typically indicates a quick sale process. The description emphasizes urgency and bidding, suggesting a fast-selling scenario."
3639364,63,moderate,moderate,moderate,fast,"The property is well-renovated and located in a desirable area, which typically attracts buyers. However, the age of the house and size may lead to a moderate selling time, likely taking 21 to 174 days.","The property features recent renovations and a desirable location near parks and restaurants, which typically attract buyers. However, the age of the home and its size may lead to a moderate selling time.","The property features recent renovations, a desirable location with walkability, and modern amenities, which are appealing to buyers, likely leading to a quick sale."
32360340,126,moderate,moderate,moderate,moderate,"The property is well-located with ample amenities, which typically attracts buyers. However, its age and size may lead to a moderate selling time, likely between 55 to 280 days.","The property has a good number of bedrooms and amenities, but lacks fast-selling keywords. Its location and features suggest a moderate selling time.","The property has a well-kept description and family-friendly features, but lacks fast-selling keywords. Its amenities and location are appealing, suggesting a moderate selling time."
95538891,99,moderate,moderate,slow,slow,"The property is unique and offers extensive features, which may attract buyers but could also take time to find the right one. A moderate selling time reflects this balance.","The property has a unique equestrian focus and extensive features, which may appeal to a niche market. Additionally, the lengthy description and price improvement suggest it has been on the market longer.","The property has a unique appeal but lacks fast-selling keywords and is situated in a niche market (equestrian), which may lead to a longer selling period."
